id,level,profile,stack,experience,salary,location,comments
2a322ef8c7348f60963d7f84b8e6c006,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",6.0,52.0,Madrid ,
69f39cb20ea39b209c6a7c68a2dbb481,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.0,35.0,Madrid ,
aec9d87cc3c54d23bf032e771cd58b81,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,50.0,Madrid ,
9c5270ec7f92c072a17e71be621f6d13,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,42.0,Madrid ,
75657f10a0f3fd853cfa256f315586cf,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",7.0,65.0,Madrid ,
7e5564c045e236c5d16ac84603b58c63,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,47.0,Madrid ,
7d90adb7998f1291b1d9b5a24f95a4e5,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",6.0,55.0,Madrid ,
300772fa510e67f17722c665e2d0beb1,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",4.0,40.0,Madrid ,
a3cebb47970943b434170266d42840ca,expert,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",8.0,84.0,Madrid ,
38fd36145c223b5b0c670b254f70bf2c,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,40.0,Madrid ,
29b16370896ad7047f3019a9278da844,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,48.0,Madrid ,
a42b2605245327d3bb288ae60ad0ba41,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",7.0,60.0,Madrid ,
1b14981935574228f46ad7369ca0ceec,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",4.0,45.0,Madrid ,
8bbc10b5ad13cc644e540ab7a3d0935e,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",4.0,41.0,Madrid ,
2e5fc04e724b0215daf0758f009f10c1,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",4.0,42.0,Madrid ,
e07232a330b026e07e505326e421402d,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.0,36.0,Madrid ,
5f02a2c3a39caaecc2564389b12ef01d,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
569b063355915a19c1cb9b0e8c517433,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,42.0,Madrid ,
ead78370f4cae529530a02a882ef3c04,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,50.0,Madrid ,
1169440c153cdee6cbf99fdef7021fa1,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,50.0,Madrid ,
45f3efd7a0b1b871b11d16790223919e,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
f9fc0fbc7bfacc254345afea46a0bee2,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
af8d8efbbf48ceb09c55a65b0707b57a,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.5,60.0,Madrid ,
f6edf0d0deb8fdb96c6411d63ca5cc92,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.0,32.0,Madrid ,
ee5ab284705822c33e1f93627ff45d14,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,57.0,Madrid ,
976dd040f25b787979d096644d8e3cf6,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,55.0,Madrid ,
baed2a06aaf9b855f1114958c2a82ec7,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
abad1cf5cdb7f926731d83ca3c2778ed,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",4.0,45.0,Madrid ,
58edadfcd66c024dc559f6b5471efc2e,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.0,38.0,Madrid ,
c9e253ceab9301cc263a5b6ed128b097,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",6.0,65.0,Madrid ,
4f5bd0987a4e365a97429779ae941475,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.5,40.0,Madrid ,
f8e039fa3def16ce566cc42fed37c3c7,junior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",2.5,32.0,Madrid ,
ee152aa6b69388140e3b0cceca0ee941,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,48.0,Madrid ,
d597cfc5e13867276e7749451ea3534e,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,50.0,Madrid ,
787f5df9e76b983a92223f19a161ee07,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,52.0,Madrid ,
45e9bf050ae134da2b9366128e043e66,senior,Programmer,"microservices, java, springboot, hibernate, jpa, docker, jenkins, oracle, SQL",3.5,45.0,Madrid ,
387aaa587633151816e529a35593bc81,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",6.0,55.0,Madrid ,
8e9b7ad94337ca11a20bd4197b68819d,senior,Analyst/Programmer,"microservices, springboot, java, web services, jenkins, kubernetes, docker",5.0,48.0,Madrid ,
